n,aliasing,overlap,I(n),is_prime
100,0.0004171841019446767,8.16,8.160417184101945,False
101,2.5217513460566944e-05,0,2.5217513460566944e-05,True
102,0.00029105581760835566,7.107843137254902,7.10813419307251,False
103,2.3896427005599072e-05,0,2.3896427005599072e-05,True
104,0.00028262610857314886,7.009615384615385,7.009898010723958,False
105,0.0002830734388538777,6.819047619047619,6.8193306924864725,False
106,9.569639665399891e-05,2.518867924528302,2.518963620924956,False
107,2.0847596575505554e-05,0,2.0847596575505554e-05,True
108,0.00041533232723506367,11.583333333333334,11.583748665660568,False
109,1.930737829310636e-05,0,1.930737829310636e-05,True
110,0.0002491139533062913,6.954545454545455,6.9547945684987615,False
111,8.711134797138927e-05,2.3603603603603602,2.3604474717083317,False
112,0.00031706173774824877,9.205357142857142,9.20567420459489,False
113,1.6697897062097825e-05,0,1.6697897062097825e-05,True
114,0.00022431189103219132,7.0964912280701755,7.096715539961208,False
115,8.992871535071646e-05,2.243478260869565,2.243568189584916,False
116,0.00015032149929953336,4.801724137931035,4.801874459430334,False
117,0.00015203729643932165,4.547008547008547,4.5471605843049865,False
118,7.937843177183654e-05,2.516949152542373,2.5170285309741445,False
119,8.777461297662175e-05,2.2016806722689077,2.2017684468818843,False
120,0.0004921823414429324,15.991666666666667,15.99215884900811,False
121,1.4997635063963406e-05,1.0909090909090908,1.090924088544155,False
122,7.871096216926788e-05,2.5163934426229506,2.51647215358512,False
123,7.436440624192956e-05,2.3577235772357725,2.3577979416420143,False
124,0.00014312085580724319,4.798387096774194,4.7985302176300015,False
125,8.306388543717913e-05,2.24,2.240083063885437,False
126,0.00032843585443129137,11.468253968253968,11.4685824041084,False
127,0.0,0,0.0,True
128,0.00019394998816284296,6.984375,6.984568949988163,False
129,5.637465542791196e-05,2.3565891472868215,2.3566455219422493,False
130,0.00019541931654288528,6.930769230769231,6.930964650085774,False
131,0.0,0,0.0,True
132,0.0002432255336586024,11.537878787878787,11.538122013412446,False
133,6.602539002969057e-05,2.1954887218045114,2.195554747194541,False
134,6.223657787144363e-05,2.5149253731343286,2.5149876097122,False
135,0.00018049193362467008,6.770370370370371,6.770550862303995,False
136,0.00018335542698212385,6.977941176470588,6.97812453189757,False
137,0.0,0,0.0,True
138,0.00017429492637882995,7.079710144927536,7.079884439853915,False
139,0.0,0,0.0,True
140,0.00029459279289426163,11.392857142857142,11.393151735650036,False
141,4.97935861438192e-05,2.354609929078014,2.3546597226641577,False
142,5.8518888841238375e-05,2.5140845070422535,2.514143025931095,False
143,0.0,2.167832167832168,2.167832167832168,False
144,0.0003278902338083486,14.791666666666666,14.791994556900475,False
145,5.3253325499313375e-05,2.2344827586206897,2.234536011946189,False
146,5.5457516001263894e-05,2.5136986301369864,2.5137540876529876,False
147,9.978326371682408e-05,4.54421768707483,4.544317470338546,False
148,0.00010032164215558204,4.79054054054054,4.790640862182696,False
149,0.0,0,0.0,True
150,0.00024479645344169075,11.473333333333333,11.473578129786775,False
151,0.0,0,0.0,True
152,0.0001420745526570125,6.967105263157895,6.9672473377105515,False
153,8.91193293867455e-05,4.522875816993464,4.52296493632285,False
154,9.469287213041055e-05,6.863636363636363,6.8637310565084935,False
155,4.265934089422718e-05,2.232258064516129,2.2323007238570236,False
156,0.00016589917167223248,11.506410256410255,11.506576155581929,False
157,0.0,0,0.0,True
158,4.365427630340899e-05,2.5126582278481013,2.512701882124405,False
159,3.557121361788136e-05,2.352201257861635,2.352236829075253,False
160,0.0001975920479613671,11.35625,11.35644759204796,False
161,3.9871696810581856e-05,2.186335403726708,2.1863752754235186,False
162,0.00015101796672270962,9.234567901234568,9.23471891920129,False
163,0.0,0,0.0,True
164,7.004173945838451e-05,4.786585365853659,4.786655407593117,False
165,6.528775290746942e-05,6.739393939393939,6.739459227146846,False
166,3.64842467086009e-05,2.5120481927710845,2.512084677017793,False
167,0.0,0,0.0,True
168,0.00019767308320290755,15.851190476190476,15.85138814927368,False
169,0.0,1.0769230769230769,1.0769230769230769,False
170,9.862588666426875e-05,6.9,6.900098625886665,False
171,6.288619914501582e-05,4.514619883040936,4.514682769240081,False
172,6.0311491231034954e-05,4.784883720930233,4.784944032421464,False
173,0.0,0,0.0,True
174,9.055422723614983e-05,7.063218390804598,7.063308945031833,False
175,5.9664560753195156e-05,4.411428571428571,4.411488235989324,False
176,8.895066175688542e-05,9.107954545454545,9.108043496116302,False
177,2.7921926054612763e-05,2.3502824858757063,2.350310407801761,False
178,3.0268810879634837e-05,2.51123595505618,2.5112662238670596,False
179,0.0,0,0.0,True
180,0.00020192797901424355,18.02777777777778,18.027979705756792,False
181,0.0,0,0.0,True
182,5.909447759352265e-05,6.84065934065934,6.8407184351369335,False
183,2.7785372540745014e-05,2.349726775956284,2.3497545613288247,False
184,8.468897045422761e-05,6.951086956521739,6.9511716454921935,False
185,2.672265624994736e-05,2.227027027027027,2.227053749683277,False
186,8.480742328016067e-05,7.059139784946236,7.0592245923695165,False
187,0.0,2.1497326203208558,2.1497326203208558,False
188,5.356103254700655e-05,4.781914893617021,4.781968454649568,False
189,8.808617756742872e-05,6.6878306878306875,6.687918774008255,False
190,8.507703292956267e-05,6.889473684210526,6.889558761243456,False
191,0.0,0,0.0,True
192,0.00013906446309481003,13.640625,13.640764064463095,False
193,0.0,0,0.0,True
194,2.7200261108373408e-05,2.5103092783505154,2.510336478611624,False
195,5.446367641881957e-05,6.717948717948718,6.718003181625137,False
196,8.059870888236305e-05,8.03061224489796,8.030692843606841,False
197,0.0,0,0.0,True
198,0.00011172462456419297,11.358585858585858,11.358697583210422,False
199,0.0,0,0.0,True
200,0.00013436024110259298,11.32,11.320134360241102,False
