source,n,signal,w10_mean,w10_std,w10_z,w10_rank,w10_rank_pct,w10_slope_left,w10_slope_right,w10_peak_width,w25_mean,w25_std,w25_z,w25_rank,w25_rank_pct,w25_slope_left,w25_slope_right,w25_peak_width
bb_fft2d_axis_k137_139.csv,137,1.5922848595133805e-12,,,,,,,,,,,,,,,,
bb_fft2d_axis_k137_139.csv,139,5.030868518130802e-12,,,,,,,,,,,,,,,,
bb_fft2d_k137_139.csv,137,6.557678929413516e-12,,,,,,,,,,,,,,,,
bb_fft2d_k137_139.csv,139,7.474466904107842e-12,,,,,,,,,,,,,,,,
bb_fft2d_radial_none_k137_139.csv,137,8.660550402736679e-12,,,,,,,,,,,,,,,,
bb_fft2d_radial_none_k137_139.csv,139,9.646915469529329e-12,,,,,,,,,,,,,,,,
bb_fft2d_radial_shuffle_k137_139.csv,137,6.557678929413516e-12,,,,,,,,,,,,,,,,
bb_fft2d_radial_shuffle_k137_139.csv,139,7.474466904107842e-12,,,,,,,,,,,,,,,,
bb_fft2d_torus_welch_k137_139.csv,137,1.2377710072378143e-11,,,,,,,,,,,,,,,,
bb_fft2d_torus_welch_k137_139.csv,139,1.039028080998474e-11,,,,,,,,,,,,,,,,
bb_scan_100_200.csv,137,1.33609637494,3.660951552097612,0.16980338960807975,-13.691453289145578,603.0,100.0,,1.0564628033462487e-13,2.5999999999999943,3.660951552097612,0.16980338960807975,-13.691453289145578,603.0,100.0,,1.0564628033462487e-13,2.5999999999999943
bb_scan_100_200.csv,139,3.57970669833,3.660951552097612,0.16980338960807975,-0.4784642636117681,382.0,63.349917081260365,1.0309086016217944e-13,9.998327961413169e-14,1.1999999999999886,3.660951552097612,0.16980338960807975,-0.4784642636117681,382.0,63.349917081260365,1.0309086016217944e-13,9.998327961413169e-14,1.1999999999999886
bb_scan_int_100_200.csv,137,1.5763329328181257,0.9958247964716356,0.2237777596576808,2.59412792957848,1.0,4.761904761904762,-0.009631230551034773,-0.01776251273411278,19.0,0.9905756259948717,0.23579920792091152,2.484136023984103,3.0,5.88235294117647,-0.009631230551034773,-0.01776251273411278,50.0
bb_scan_int_100_200.csv,139,1.2157366572048234,0.9985611402044716,0.22331202454203064,0.9725204786698627,4.0,19.047619047619047,0.060166656365675704,0.03467637648242855,20.0,0.9766467175113601,0.219307658270084,1.0902033316092263,8.0,15.686274509803921,0.060166656365675704,0.03467637648242855,50.0
ee_fft2d_torus_welch_k137_139.csv,137,2.1900076489053637e-11,,,,,,,,,,,,,,,,
ee_fft2d_torus_welch_k137_139.csv,139,2.5297777155414172e-11,,,,,,,,,,,,,,,,
ee_scan_int_100_200.csv,137,1.0486284473299992,0.810735639687818,0.2030646886710618,1.171512433791659,4.0,19.047619047619047,-0.009475703823222114,-0.02287639757909511,19.0,0.7912339140886829,0.1869575854491039,1.376753623678926,7.0,13.725490196078432,-0.009475703823222114,-0.02287639757909511,50.0
ee_scan_int_100_200.csv,139,1.0928218196280015,0.7946681418806854,0.17371232167360354,1.7163645898851752,2.0,9.523809523809524,0.02514133691225043,0.0348297318283884,20.0,0.785672457278058,0.18829375097027407,1.6312244074336444,6.0,11.76470588235294,0.02514133691225043,0.0348297318283884,50.0
tt_fft2d_torus_welch_W128_k137_139.csv,137,3.093627795261363e-08,,,,,,,,,,,,,,,,
tt_fft2d_torus_welch_W128_k137_139.csv,139,3.203799048041426e-08,,,,,,,,,,,,,,,,
tt_fft2d_torus_welch_W384_k137_139.csv,137,3.093627795261363e-08,,,,,,,,,,,,,,,,
tt_fft2d_torus_welch_W384_k137_139.csv,139,3.203799048041426e-08,,,,,,,,,,,,,,,,
tt_fft2d_torus_welch_k137_139.csv,137,3.093627795261363e-08,,,,,,,,,,,,,,,,
tt_fft2d_torus_welch_k137_139.csv,139,3.203799048041426e-08,,,,,,,,,,,,,,,,
tt_fft2d_torus_welch_none_k137_139.csv,137,3.1484358398937775e-08,,,,,,,,,,,,,,,,
tt_fft2d_torus_welch_none_k137_139.csv,139,3.3835539616659264e-08,,,,,,,,,,,,,,,,
tt_fft2d_torus_welch_shuffle_k137_139.csv,137,3.093627795261363e-08,,,,,,,,,,,,,,,,
tt_fft2d_torus_welch_shuffle_k137_139.csv,139,3.203799048041426e-08,,,,,,,,,,,,,,,,
tt_fft2d_torus_welch_w128_phiroll_k137_139.csv,137,3.6479749606978816e-08,,,,,,,,,,,,,,,,
tt_fft2d_torus_welch_w256_phiroll_k137_139.csv,137,3.487950547755547e-08,,,,,,,,,,,,,,,,
tt_fft2d_torus_welch_w256_phiroll_k137_139.csv,139,3.2816378810062595e-08,,,,,,,,,,,,,,,,
tt_fft2d_torus_welch_w512_phiroll_k137_139.csv,137,2.9358669838572943e-08,,,,,,,,,,,,,,,,
tt_fft2d_torus_welch_w512_phiroll_k137_139.csv,139,3.214181399434819e-08,,,,,,,,,,,,,,,,
tt_obs_w128.csv,137,3.497581058945359e-08,,,,,,,,,,,,,,,,
tt_obs_w128.csv,139,3.160828398432155e-08,,,,,,,,,,,,,,,,
tt_scan_int_100_200.csv,137,2.367889661050316,1.521733832402362,0.39038310387052694,2.1675011552974057,1.0,4.761904761904762,-0.010020047370566377,-0.06643521941006622,19.0,1.4958949356499303,0.37646860012732236,2.3162482212473385,4.0,7.8431372549019605,-0.010020047370566377,-0.06643521941006622,50.0
tt_scan_int_100_200.csv,139,2.1375979390309867,1.5170363883703277,0.37567355954695403,1.6518637920886134,4.0,19.047619047619047,0.0949595064504273,0.034292988117529025,20.0,1.4834194610715117,0.364728214840891,1.7936053514391634,8.0,15.686274509803921,0.0949595064504273,0.034292988117529025,50.0
