rs_n,rs_k,ofdm_channels,winding_number,prime_gate_pattern,quantization_grid,alpha_inv_predicted,electron_mass_predicted,alpha_error,electron_mass_error,combined_score
201,123,25,197,2,255,197.36,0.5093194029850746,60.32400091600002,0.0016795470149253422,60.49195561749255
218,142,16,191,4,512,190.887,0.5097137614678899,53.851000916000004,0.0012851885321100154,53.979519769211
245,207,14,193,8,128,192.573,0.5116489795918368,55.53700091600001,0.0006500295918367982,55.60200387518369
251,169,14,191,7,128,190.633,0.5099330677290836,53.59700091600001,0.0010658822709163074,53.70358914309164
241,190,26,149,9,256,149.86100000000002,0.511083817427386,12.825000916000022,8.486742738600395e-05,12.833487658738623
223,187,13,151,7,128,150.253,0.5115856502242152,13.21700091599999,0.000586700224215253,13.275670938421515
224,167,12,101,5,255,100.28999999999999,0.5106553571428571,36.745999084000005,0.00034359285714280485,36.780358369714286
218,131,11,149,0,256,148.131,0.5092091743119266,11.095000916000004,0.0017897756880733695,11.27397848480734
225,177,30,151,9,256,152.101,0.5110666666666667,15.065000916000002,6.771666666671727e-05,15.071772582666675
287,190,12,193,2,256,192.921,0.5098202090592334,55.885000915999996,0.0011787409407665317,56.00287501007665
253,212,14,149,8,512,149.037,0.5115794466403162,12.00100091600001,0.0005804966403162304,12.059050580031633
230,174,21,103,3,256,103.251,0.5107652173913043,33.78499908399999,0.00023373260869563595,33.808372344869554
292,242,13,197,1,256,197.071,0.5114876712328768,60.035000916,0.0004887212328767987,60.08387303928768
231,139,26,101,3,255,101.76,0.509217316017316,35.27599908399999,0.001781633982683939,35.45416248226839
267,170,19,127,2,255,127.42,0.5095670411985019,9.615999083999995,0.0014319088014980164,9.759189964149797
200,142,22,163,2,255,163.04999999999998,0.5103,26.014000915999986,0.000698949999999976,26.083895915999985
250,196,28,103,2,255,104.15,0.51104,32.88599908399999,4.105000000009795e-05,32.890104084
281,210,22,179,3,256,179.861,0.510673309608541,42.82500091599999,0.00032564039145899226,42.85756495514589
284,204,18,149,0,256,149.49099999999999,0.5103830985915493,12.455000915999989,0.0006158514084506628,12.516586056845055
247,194,21,197,4,255,197.42,0.5110542510121457,60.38400091599999,5.530101214579197e-05,60.38953101721457
282,213,20,151,4,256,151.67100000000002,0.5107531914893617,14.635000916000024,0.0002457585106382387,14.659576767063848
258,160,30,151,3,256,152.431,0.5094015503875969,15.395000916000015,0.0015973996124030165,15.554740877240317
211,153,26,113,3,255,113.56,0.5104511848341232,23.475999083999994,0.0005477651658767346,23.530775600587667
200,165,31,103,1,255,103.95,0.51145,33.085999083999994,0.0004510500000000084,33.13110408399999
286,243,15,101,9,128,101.08300000000001,0.5116965034965035,35.952999083999984,0.0006975534965035779,36.02275443365034
232,201,28,137,3,512,138.227,0.5118637931034483,1.1910009160000072,0.000864843103448365,1.2774852263448437
228,181,27,179,2,256,179.831,0.5111385964912281,42.79500091599999,0.00013964649122810702,42.808965565122804
213,154,15,109,5,512,108.73700000000001,0.5104300469483568,28.298999083999988,0.0005689030516431437,28.355889389164304
225,137,12,163,5,255,162.29999999999998,0.5092888888888889,25.264000915999986,0.0017100611111110497,25.43500702711109
243,208,9,109,8,255,108.17999999999999,0.511759670781893,28.855999084000004,0.0007607207818930428,28.93207116218931
246,216,24,197,2,512,197.967,0.511980487804878,60.931000916000016,0.0009815378048780854,61.02915469648782
269,173,28,179,3,255,180.33999999999997,0.5096312267657993,43.30400091599998,0.0013677232342006462,43.44077323942004
269,179,14,163,3,256,162.941,0.5098542750929368,25.905000916000006,0.001144674907063159,26.019468406706324
233,182,19,157,1,256,157.08100000000002,0.5110111587982833,20.04500091600002,1.220879828334187e-05,20.046221795828355
272,241,15,107,5,256,107.07100000000001,0.5120602941176471,29.964999083999984,0.0010613441176471339,30.0711334957647
268,216,10,109,5,128,108.403,0.5112597014925373,28.63299908399999,0.00026075149253734775,28.659074233253726
202,152,19,193,2,255,192.77,0.5107247524752475,55.734000916000014,0.00027419752475243975,55.76142066847526
218,163,23,167,2,128,167.20299999999997,0.5106770642201834,30.167000915999978,0.0003218857798165109,30.199189493981628
241,213,13,137,7,255,136.56,0.5120381742738589,0.47599908399999435,0.0010392242738589408,0.5799215113858884
203,181,17,101,3,255,100.58,0.5121162561576355,36.455999084,0.0011173061576355003,36.56772969976355
267,166,30,101,8,128,102.39300000000001,0.5094172284644195,34.64299908399998,0.0015817215355804493,34.80117123755802
214,139,29,181,2,512,182.14700000000002,0.5096953271028037,45.11100091600002,0.0013036228971962105,45.241363205719644
263,160,19,193,3,255,193.38000000000002,0.5092836501901141,56.34400091600003,0.0017152998098858285,56.51553089698861
201,141,9,167,1,255,165.76000000000002,0.5102149253731343,28.724000916000023,0.0007840246268656648,28.802403378686588
248,217,24,151,4,256,151.73100000000002,0.51195,14.695000916000026,0.0009510500000000643,14.790105916000034
220,192,25,197,6,128,197.423,0.5119272727272728,60.387000916000005,0.0009283227272728345,60.47983318872729
276,189,30,181,1,512,182.86700000000002,0.5100478260869565,45.83100091600002,0.0009511239130434168,45.92611330730436
211,174,8,103,6,512,102.01700000000001,0.5114464454976303,35.01899908399999,0.0004474954976303458,35.06374863376302
289,209,13,181,1,256,181.041,0.5104318339100347,44.005000916,0.0005671160899652916,44.06171252499653
265,195,12,139,6,512,138.957,0.5105584905660377,1.921000915999997,0.00044045943396220366,1.9650468593962174
260,209,19,197,7,128,197.223,0.5112384615384615,60.18700091600002,0.0002395115384615787,60.21095206984617
262,232,27,157,0,128,158.04299999999998,0.5120549618320611,21.00700091599998,0.0010560118320611656,21.112602099206097
276,185,21,181,0,512,181.967,0.5099028985507247,44.931000916000016,0.0010960514492752704,45.040606060927544
276,187,27,131,8,512,132.567,0.5099753623188406,4.468999083999989,0.0010235876811593991,4.571357852115929
286,209,18,191,9,255,191.51,0.5105076923076923,54.474000915999994,0.0004912576923076228,54.52312668523076
279,239,13,149,4,128,148.813,0.5117663082437276,11.777000915999992,0.0007673582437276449,11.853736740372756
222,138,9,107,1,256,105.971,0.5094162162162162,31.064999083999993,0.0015827337837837074,31.223272462378365
227,189,17,113,0,255,112.82,0.5115259911894273,24.215999084000003,0.0005270411894273686,24.26870320294274
282,195,19,101,1,128,101.443,0.5101148936170213,35.592999084,0.0008840563829786152,35.68140472229786
227,194,26,199,3,255,199.72,0.5117462555066079,62.684000916,0.0007473055066079537,62.7587314666608
203,142,19,173,3,255,172.78,0.5101950738916257,35.744000916000005,0.0008038761083742907,35.82438852683743
269,220,25,131,2,128,131.91299999999998,0.5113784386617101,5.122999084000014,0.00037948866171011453,5.160947950171026
232,169,25,103,9,512,103.927,0.5104844827586207,33.10899908399999,0.0005144672413792684,33.160445808137915
241,146,18,179,7,512,179.317,0.5092580912863071,42.28100091600001,0.0017408587136928944,42.4550867873693
250,221,19,107,1,512,107.507,0.51204,29.52899908399999,0.0010410500000000988,29.633104084000003
221,155,26,139,1,512,139.917,0.5102135746606334,2.881000916000005,0.0007853753393665119,2.959538449936656
200,150,32,197,6,128,197.92299999999997,0.5107,60.88700091599998,0.000298949999999909,60.916895915999966
263,225,9,107,7,256,106.381,0.5117551330798479,30.654999083999996,0.0007561830798479274,30.73061739198479
275,228,28,137,7,128,138.27299999999997,0.5114909090909091,1.237000915999971,0.0004919590909091553,1.2861968250908866
299,181,25,107,5,128,108.21300000000001,0.5092535117056857,28.82299908399999,0.0017454382943142832,28.997542913431417
222,161,22,127,0,255,127.27,0.5104522522522522,9.765999084,0.0005466977477477375,9.820668858774773
228,163,21,151,9,512,151.487,0.5103491228070176,14.451000915999998,0.000649827192982344,14.515983635298232
255,216,20,173,5,128,173.273,0.5116705882352941,36.237000916,0.0006716382352941475,36.30416473952941
236,198,24,109,2,512,109.867,0.5115898305084746,27.168999083999992,0.0005908805084746671,27.22808713484746
235,208,24,127,2,255,127.6,0.5120510638297873,9.435999084000002,0.0010521138297873156,9.541210466978734
223,164,22,109,4,128,109.153,0.5105542600896861,27.88299908399999,0.00044468991031387795,27.927468075031378
255,210,16,109,8,512,109.257,0.5114352941176471,27.77899908399999,0.0004363441176471472,27.822633495764705
223,196,30,103,8,128,103.95300000000002,0.5119892376681614,33.08299908399998,0.0009902876681614492,33.18202785081613
233,144,25,199,9,255,199.68,0.5093802575107296,62.64400091600001,0.0016186924892703791,62.80587016492705
227,144,9,181,4,255,180.02,0.5095436123348017,42.984000916000014,0.0014553376651982308,43.12953468251984
226,168,30,139,0,128,139.983,0.510633628318584,2.9470009160000075,0.0003653216814158977,2.9835330841415972
216,136,30,109,5,255,110.01,0.5094962962962963,27.02599908399999,0.0015026537037036158,27.176264454370354
208,179,9,179,6,256,177.83100000000002,0.5118057692307693,40.79500091600002,0.0008068192307693067,40.87568283907695
244,212,21,163,1,256,163.391,0.511888524590164,26.355000915999995,0.0008895745901640328,26.443958375016397
211,154,25,151,2,512,151.717,0.5104985781990521,14.681000916000016,0.000500371800947863,14.731038096094803
289,205,17,149,0,255,149.44,0.5102934256055364,12.404000916000001,0.0007055243944635858,12.47455335544636
249,189,21,101,4,255,101.44,0.5107903614457832,35.595999084,0.00020858855421679312,35.61685793942168
235,179,19,139,9,512,139.35700000000003,0.5108170212765958,2.321000916000031,0.00018192872340416777,2.339193788340448
214,174,11,113,2,512,112.34700000000001,0.5113308411214953,24.688999083999988,0.0003318911214953424,24.722188196149524
294,210,24,131,0,512,132.447,0.5103428571428571,4.588999083999994,0.0006560928571428537,4.654608369714279
299,267,9,191,9,512,190.997,0.5121297658862877,53.96100091600002,0.0011308158862877171,54.07408250462879
267,205,8,157,0,128,156.19299999999998,0.5108779026217228,19.157000915999987,0.00012104737827711709,19.1691056538277
284,229,10,101,9,255,100.69000000000001,0.5112633802816902,36.345999083999985,0.0002644302816902089,36.372442112169004
251,150,11,191,3,512,190.717,0.5091760956175299,53.681000916000016,0.001822854382470096,53.86328635424702
293,235,16,181,1,255,181.38,0.5112204778156997,44.344000916,0.00022152781569972912,44.36615369756997
216,175,8,151,7,256,149.811,0.5113018518518518,12.77500091600001,0.0003029018518518889,12.8052911011852
299,263,21,109,7,256,109.941,0.5119959866220736,27.094999083999994,0.0009970366220736215,27.194702746207355
290,199,18,199,9,512,199.807,0.5100620689655172,62.77100091599999,0.0009368810344827505,62.864689019448264
205,128,10,199,1,512,198.157,0.5094439024390244,61.121000916000014,0.0015550475609755754,61.27650567209757
233,155,27,103,5,255,103.88,0.5098523605150215,33.155999084,0.0011465894849784775,33.27065803249785
255,188,14,131,7,255,130.8,0.5105725490196078,6.235999083999985,0.0004264009803921498,6.2786391820392
232,142,20,191,5,255,191.17000000000002,0.5093206896551724,54.13400091600002,0.0016782603448275424,54.30182695048278
249,218,14,181,7,128,180.613,0.5119550200803213,43.577000916,0.0009560700803213917,43.67260792403214
242,170,10,103,4,255,102.27000000000001,0.5102247933884297,34.765999083999986,0.0007741566115702092,34.843414745157006
298,185,25,167,3,255,168.33,0.5094080536912752,31.294000916000016,0.0015908963087247763,31.453090546872495
259,212,29,179,9,255,180.34,0.5113853281853282,43.30400091600001,0.0003863781853282733,43.342638734532834
230,148,16,109,7,256,108.751,0.5096347826086957,28.284999083999992,0.001364167391304294,28.42141582313042
226,168,8,193,3,128,191.783,0.510633628318584,54.74700091599999,0.0003653216814158977,54.78353308414158
218,179,29,131,6,255,131.93,0.5114110091743119,5.10599908399999,0.0004120591743119739,5.147205001431187
241,189,23,197,6,128,197.433,0.5110423236514523,60.397000915999996,4.3373651452349726e-05,60.40133828114523
226,158,9,197,1,256,196.01100000000002,0.5101911504424779,58.97500091600003,0.000807799557522082,59.05578087175223
292,244,16,109,5,255,109.37,0.5115561643835617,27.665999083999992,0.0005572143835617105,27.721720522356165
200,177,18,193,3,256,192.65099999999998,0.51205,55.615000915999985,0.0010510500000000533,55.720105915999994
248,188,10,181,6,512,180.58700000000002,0.5107806451612903,43.55100091600002,0.00021830483870965978,43.572831399870985
272,192,24,139,2,256,139.971,0.5102588235294118,2.935000916000007,0.0007401264705881871,3.0090135630588257
240,185,15,181,4,512,181.007,0.5109083333333333,43.97100091600001,9.061666666665413e-05,43.980062582666676
280,234,29,197,9,128,198.423,0.5115571428571428,61.387000916000005,0.0005581928571428696,61.44282020171429
270,238,26,151,6,128,152.023,0.5120148148148148,14.987000916,0.0010158648148148597,15.088587397481486
235,207,26,167,0,128,167.673,0.5120085106382979,30.637000916000005,0.001009560638297935,30.7379569798298
262,181,17,139,2,512,139.427,0.5101083969465648,2.391000915999996,0.0008905530534351058,2.4800562213435065
250,196,16,101,4,256,100.95100000000001,0.51104,36.08499908399999,4.105000000009795e-05,36.089104084
293,208,16,107,0,255,107.38,0.510298976109215,29.655999084,0.0006999738907849107,29.725996473078492
279,241,18,191,3,255,191.44,0.5118379928315412,54.404000916,0.0008390428315412368,54.48790519915413
229,165,19,173,1,255,173.04000000000002,0.5104052401746725,36.004000916000024,0.0005937098253274709,36.06337189853277
201,163,21,163,0,128,162.833,0.5113094527363184,25.797000916000002,0.00031050273631849645,25.82805118963185
213,174,12,197,5,512,196.437,0.5113690140845071,59.401000916000015,0.0003700640845071268,59.43800732445073
220,196,25,149,8,128,149.423,0.512109090909091,12.387000916000005,0.0011101409090910064,12.498015006909107
270,213,27,191,0,512,192.507,0.5110888888888889,55.47100091600001,8.993888888897406e-05,55.479994804888904
246,210,14,179,5,128,178.583,0.5117365853658536,41.547000916,0.0007376353658536949,41.62076445258537
200,131,26,181,2,255,181.45,0.50975,44.41400091599999,0.0012489499999999154,44.53889591599999
205,160,29,163,9,255,163.8,0.5110048780487805,26.764000916000015,5.928048780523554e-06,26.764593720878068
277,173,28,191,9,256,192.421,0.5094454873646209,55.385000915999996,0.0015534626353790326,55.540347179537896
211,159,13,103,1,256,102.26100000000001,0.5107355450236967,34.77499908399999,0.0002634049763032831,34.801339581630316
237,195,19,149,1,256,149.121,0.5114278481012658,12.085000916000013,0.00042889810126589545,12.127890726126601
281,227,30,137,0,128,138.533,0.5112782918149467,1.4970009159999904,0.00027934181494670973,1.5249350974946614
241,167,20,151,8,512,151.51700000000002,0.5101294605809129,14.481000916000028,0.0008694894190870439,14.567949857908733
240,197,16,109,4,256,108.851,0.5114083333333334,28.184999083999998,0.0004093833333334018,28.225937417333338
284,190,31,151,5,256,152.791,0.5098901408450704,15.755000916,0.001108809154929502,15.86588183149295
295,226,17,193,2,512,193.757,0.5108610169491525,56.72100091600001,0.00013793305084741636,56.73479422108475
299,241,28,167,9,512,168.897,0.5112602006688963,31.861000915999995,0.0002612506688963734,31.887125982889632
217,194,19,197,0,512,197.17700000000002,0.5121400921658986,60.141000916000024,0.0011411421658986676,60.25511513258989
299,243,19,163,9,255,163.74,0.5113270903010033,26.704000916000012,0.00032814030100336566,26.73681494610035
227,203,13,127,2,256,126.421,0.5121427312775331,10.61499908399999,0.001143781277533118,10.729377211753302
288,177,10,181,7,512,180.98700000000002,0.5093458333333334,43.95100091600003,0.0016531166666665653,44.11631258266668
217,193,14,167,3,512,166.67700000000002,0.5120940092165899,29.641000916000024,0.001095059216589922,29.750506837659017
215,156,29,199,4,128,199.773,0.5104558139534884,62.737000916,0.000543136046511572,62.791314520651156
299,191,25,137,6,255,138.34,0.5095879598662207,1.3040009160000068,0.0014109901337792108,1.4450999293779279
215,189,15,197,4,512,196.757,0.5119906976744186,59.72100091600001,0.0009917476744186748,59.820175683441875
295,211,29,191,4,256,192.70100000000002,0.5103525423728814,55.665000916000025,0.0006464076271185393,55.72964167871188
231,172,29,113,1,512,114.31700000000001,0.5106458874458875,22.71899908399999,0.0003530625541124932,22.75430533941124
251,175,18,181,9,128,181.033,0.5101721115537848,43.99700091599999,0.0008268384462151168,44.079684760621504
235,170,9,167,4,256,166.10100000000003,0.5104340425531915,29.06500091600003,0.0005649074468084825,29.121491660680878
210,140,18,127,6,512,127.007,0.5098666666666667,10.028999083999992,0.0011322833333332616,10.142227417333318
217,170,31,167,5,256,168.121,0.5110341013824885,31.085000916000013,3.5151382488551874e-05,31.088516054248867
210,150,16,103,2,128,102.423,0.5103428571428571,34.612999083999995,0.0006560928571428537,34.67860836971428
279,227,21,173,5,512,173.997,0.5113362007168459,36.96100091600002,0.0003372507168459826,36.99472598768462
233,169,30,199,7,256,200.181,0.5104532188841202,63.145000916000015,0.000545731115879744,63.19957402758799
265,201,28,107,6,255,108.3,0.5107849056603774,28.735999084,0.00021404433962257663,28.757403517962256
271,228,13,101,7,255,100.86,0.5116132841328414,36.175999084,0.0006143341328413987,36.23743249728414
218,136,26,107,7,512,107.887,0.5094385321100917,29.148999083999996,0.0015604178899082388,29.30504087299082
242,166,31,197,1,512,198.627,0.5100595041322314,61.59100091600001,0.0009394458677685069,61.68494550277686
271,205,13,163,0,256,162.861,0.5107645756457565,25.825000915999993,0.00023437435424344955,25.84843835142434
271,210,28,191,8,512,192.617,0.5109490774907749,55.581000915999994,4.987250922505737e-05,55.5859881669225
266,214,13,179,2,256,178.811,0.511245112781955,41.77500091600001,0.00024616278195499497,41.79961719419551
243,174,16,167,0,256,166.881,0.5103604938271605,29.845000916000004,0.0006384561728394189,29.908846533283945
203,150,28,181,5,256,181.68099999999998,0.5105891625615764,44.64500091599999,0.00040978743842357,44.685979659842346
210,156,17,131,8,128,130.523,0.5106285714285714,6.5129990840000005,0.00037037857142852015,6.550036941142853
279,218,21,191,4,512,191.997,0.5110136200716846,54.96100091600002,1.4670071684652619e-05,54.96246792316848
210,187,23,179,0,512,179.507,0.512104761904762,42.47100091600001,0.0011058119047619996,42.581582106476205
278,174,10,113,1,255,112.63000000000001,0.5094589928057554,24.405999083999987,0.001539957194244601,24.55999480342445
261,212,10,109,3,512,108.71700000000001,0.5113226053639847,28.318999083999984,0.0003236553639847095,28.351364620398456
217,144,21,101,7,512,101.37700000000001,0.5098359447004608,35.65899908399999,0.001163005299539166,35.775299613953905
244,165,31,181,6,128,182.26299999999998,0.5099622950819672,45.22700091599998,0.0010366549180327311,45.33066640780325
204,143,21,173,0,128,172.863,0.5102098039215687,35.827000916,0.0007891460784312798,35.905915523843134
289,184,16,191,1,256,191.341,0.5095667820069204,54.30500091600001,0.0014321679930795472,54.44821771530797
200,140,20,139,9,255,138.85,0.5102,1.8140009159999977,0.000798949999999965,1.8938959159999942
299,227,15,157,0,128,157.213,0.5107919732441472,20.177000915999997,0.00020697675585279462,20.197698591585276
240,188,8,181,0,512,180.307,0.5110333333333333,43.27100091599999,3.438333333338761e-05,43.27443924933333
222,195,18,197,9,512,197.12699999999998,0.5119837837837838,60.091000915999984,0.0009848337837838894,60.189484294378374
214,160,22,113,7,512,113.447,0.5106766355140187,23.588999083999994,0.00032231448598130097,23.621230532598123
273,243,26,149,0,512,150.437,0.5121010989010989,13.401000916000015,0.0011021489010989427,13.51121580610991
243,172,26,167,1,256,167.881,0.5102781893004116,30.845000916000004,0.0007207606995883742,30.91707698595884
268,172,22,131,9,256,131.731,0.5096179104477612,5.304999084000002,0.001381039552238783,5.44310303922388
232,166,13,113,1,255,112.47,0.5103551724137931,24.565999083999998,0.0006437775862068174,24.63037684262068
220,149,17,197,4,256,196.751,0.5099727272727272,59.71500091600001,0.0010262227272727076,59.81762318872728
284,242,32,163,6,256,164.891,0.5117211267605634,27.855000915999995,0.0007221767605634088,27.927218592056335
234,175,23,107,0,255,107.49000000000001,0.5106786324786325,29.545999083999988,0.0003203175213674081,29.57803083613673
210,156,32,103,0,128,104.023,0.5106285714285714,33.012999084,0.00037037857142852015,33.05003694114285
234,206,23,199,0,256,199.49099999999999,0.5120034188034188,62.45500091599999,0.0010044688034188676,62.55544779634187
260,191,10,101,1,512,100.70700000000001,0.5105461538461539,36.32899908399999,0.0004527961538460801,36.3742786993846
209,183,25,107,6,128,107.31300000000002,0.511955980861244,29.72299908399998,0.0009570308612441014,29.81870217012439
272,192,29,163,3,256,164.471,0.5102588235294118,27.435000916000007,0.0007401264705881871,27.509013563058826
262,172,10,151,2,255,150.47,0.5097648854961833,13.434000916000002,0.0012340645038166898,13.557407366381671
261,199,11,131,3,512,130.817,0.510824521072797,6.218999083999989,0.0001744289272029853,6.236441976720288
237,152,25,103,7,255,103.72,0.5096135021097047,33.315999084,0.001385447890295266,33.45454387302952
231,170,23,109,2,255,109.46000000000001,0.5105593073593073,27.57599908399999,0.00043964264069262793,27.619963348069252
202,165,13,163,5,255,162.17,0.5113683168316832,25.13400091599999,0.0003693668316832044,25.17093759916831
289,187,9,163,1,255,162.64000000000001,0.5096705882352941,25.604000916000018,0.0013283617647058543,25.736837092470605
284,234,19,139,4,128,139.463,0.5114394366197184,2.4270009159999972,0.0004404866197184054,2.4710495779718378
270,184,14,107,7,512,107.20700000000001,0.5100148148148148,29.82899908399999,0.000984135185185142,29.9274126025185
